Customer Name,Contact,Loan Number,Total Loan Amount,Current Balance,Current Escrow Balance,Prev Tax,Prev Insurance,Forecasted Tax,Forecasted Insurance,Last Tax Paid Date,Last Insurance Paid Date,Next Tax Pay Date,Next Insurance Pay Date,Forecasted Escrow Surplus,Forecasted Escrow Shortage,Last Interaction Date,Last Interaction Type,Last Interaction Summary,County,Property Address
Brandy Murray,6468537556,43859311,710981.67,340263.48,5089.24,5262.83,2249.62,5495.28,2466.64,2025-07-22,2024-11-26,2026-07-22,2025-11-26,0.0,4199.67,2025-10-26,Call,Requested payment schedule clarification,Harris,"0805 Debra Tunnel, Pearland, TX 77002"
David Combs,+1-323-427-1937x452,51746937,796364.4,519140.22,7591.17,5563.54,1784.16,5750.35,1815.17,2025-01-27,2024-12-10,2026-01-27,2025-12-10,0.0,1235.27,2025-10-10,Chat,Inquired about property tax adjustment,Collin,"049 Sanders Stravenue, Plano, TX 75070"
Lori Garcia,001-849-919-0586x51850,24165187,349210.88,179996.96,5518.51,5057.51,2379.33,5635.16,2405.12,2025-02-23,2025-03-16,2026-02-23,2026-03-16,0.0,3861.82,2025-11-04,Call,Asked about escrow increase explanation,Dallas,"7262 Gilbert Plain Suite 769, Garland, TX 75204"
Timothy Ramirez,537.799.6507x527,44675473,249342.43,155715.45,1481.54,4099.28,1284.48,4383.92,1360.12,2025-08-06,2025-05-14,2026-08-06,2026-05-14,0.0,5219.84,2025-10-15,Chat,Follow-up on prior escrow analysis letter,Harris,"9480 Christopher Stravenue Suite 783, Houston, TX 77057"
Joan Smith,736-734-9578x8568,70900658,848817.03,425930.66,7146.89,4190.1,2312.51,4595.78,2367.99,2025-02-26,2025-08-19,2026-02-26,2026-08-19,0.0,977.51,2025-10-10,Chat,Follow-up on prior escrow analysis letter,Harris,"4313 Wilson Plain Apt. 337, Houston, TX 77057"
Kelly Campbell,434-635-2408,16109013,665622.85,583389.41,4537.86,4130.05,2343.87,4272.83,2501.11,2025-03-01,2025-05-12,2026-03-01,2026-05-12,0.0,3365.07,2025-09-29,Chat,Asked about escrow increase explanation,Dallas,"427 Monique Ports, Garland, TX 75204"
Cody Williams,511.367.1902x2941,84903294,627835.03,364758.11,6188.62,5482.56,1527.07,5651.81,1552.68,2025-06-19,2025-07-10,2026-06-19,2026-07-10,0.0,2216.62,2025-08-19,Email,Follow-up on prior escrow analysis letter,Collin,"993 Hayes Mills Suite 964, Allen, TX 75024"
Natalie Meza,434.212.3281,64830300,564393.82,375261.7,1292.8,4640.93,2386.25,5186.23,2418.68,2025-02-21,2025-07-11,2026-02-21,2026-07-11,0.0,7579.6,2025-10-10,Chat,Requested payment schedule clarification,Collin,"974 Jesse Squares Suite 713, Allen, TX 75035"
Taylor Coleman,+1-632-942-1024,26690465,735087.18,655747.27,3844.64,5792.98,1062.74,6451.58,1156.06,2025-02-16,2024-11-21,2026-02-16,2025-11-21,0.0,5030.94,2025-08-22,Email,Verified insurance premium update,Dallas,"464 Kim Rapid Apt. 659, Dallas, TX 75219"
Michael Valencia,001-604-490-2787,88561612,843365.47,709433.34,3881.99,6014.58,2049.6,6329.35,2099.46,2025-08-07,2025-05-22,2026-08-07,2026-05-22,0.0,5951.62,2025-09-10,Call,Verified insurance premium update,Collin,"717 Ortiz Islands Apt. 256, Frisco, TX 75070"
Jennifer Hodges,2719545168,65465150,299679.62,272476.49,3447.61,6692.41,2281.25,7027.45,2439.58,2024-12-31,2025-03-02,2025-12-31,2026-03-02,0.0,7597.26,2025-09-25,In-App Message,Inquired about property tax adjustment,Collin,"85977 James Plaza, McKinney, TX 75024"
Kari Johnson,+1-393-424-8086x1317,76890827,413359.6,291295.68,5756.63,6796.48,1362.95,7017.26,1484.16,2025-05-27,2025-08-27,2026-05-27,2026-08-27,0.0,4161.69,2025-11-07,Chat,Requested payment schedule clarification,Tarrant,"467 Sanchez Plaza Apt. 639, Fort Worth, TX 76109"
Benjamin Barton,(758)740-4499x72787,84077101,231301.91,154343.57,6099.82,4411.55,1830.56,4746.95,1912.33,2025-08-11,2025-04-08,2026-08-11,2026-04-08,0.0,1669.34,2025-09-20,Email,Inquired about property tax adjustment,Harris,"5339 Hall Trail Suite 057, Pasadena, TX 77002"
Rebecca Pearson MD,9282951718,29348212,539940.26,460706.96,5808.0,7231.18,2052.96,7576.35,2153.18,2025-04-07,2025-03-13,2026-04-07,2026-03-13,0.0,5543.12,2025-10-13,Chat,Follow-up on prior escrow analysis letter,Collin,"217 Morgan Square Suite 158, McKinney, TX 75013"
Olivia Brennan,3919343161,32329103,689815.7,414000.57,3164.99,4837.77,1484.08,5111.63,1515.92,2025-01-17,2024-12-11,2026-01-17,2025-12-11,0.0,4567.15,2025-10-12,In-App Message,Verified insurance premium update,Tarrant,"05045 Jordan Gardens Suite 922, Grapevine, TX 76102"
Lisa Allen,001-623-474-7407,19913576,560952.91,252542.67,3008.4,4934.5,1785.97,5373.29,1878.57,2025-04-08,2025-06-21,2026-04-08,2026-06-21,0.0,5452.1,2025-09-17,In-App Message,Requested payment schedule clarification,Dallas,"9464 Bruce Flat Suite 713, Garland, TX 75039"
Wendy Phillips,+1-664-409-0974x39533,94322033,644138.06,381260.94,5646.98,5786.67,958.76,6456.07,988.61,2025-01-01,2024-12-16,2026-01-01,2025-12-16,0.0,3038.48,2025-11-10,Chat,Requested payment schedule clarification,Harris,"047 Bethany Street, Pasadena, TX 77008"
Paul Thompson,(685)788-4247,25457816,184660.29,173944.09,5278.92,6458.2,1574.21,7167.0,1671.51,2025-04-03,2025-07-30,2026-04-03,2026-07-30,0.0,5032.68,2025-10-25,In-App Message,Verified insurance premium update,Dallas,"23685 Krystal Bridge Suite 817, Irving, TX 75201"
Lauren Carson,(613)870-9859x317,25659979,642043.51,290699.59,6256.75,6465.21,981.2,6906.55,1006.54,2025-04-10,2025-05-06,2026-04-10,2026-05-06,0.0,2975.19,2025-09-19,In-App Message,Asked about escrow increase explanation,Travis,"04711 Paige Dale, Austin, TX 78702"
Natalie Bautista,(592)761-7964x05377,23335151,492346.37,418843.14,5673.04,7445.52,1812.27,8305.5,1975.79,2024-11-19,2024-11-30,2025-11-19,2025-11-30,0.0,6321.8,2025-10-29,In-App Message,Follow-up on prior escrow analysis letter,Harris,"506 Lopez Crossing Suite 139, Houston, TX 77007"
William Buchanan,218.639.3352,29419691,487552.32,402663.8,6879.04,4247.9,2122.05,4560.6,2188.96,2025-02-11,2025-06-27,2026-02-11,2026-06-27,0.0,995.45,2025-09-14,In-App Message,Asked about escrow increase explanation,Travis,"421 David Knolls, Austin, TX 78745"
Derek Martinez,(281)617-7589x17839,71477426,401885.65,360295.88,1564.04,3678.74,1451.16,3839.69,1493.61,2025-03-16,2025-07-05,2026-03-16,2026-07-05,0.0,4658.14,2025-08-28,In-App Message,Verified insurance premium update,Tarrant,"76617 Jones Common, Fort Worth, TX 76109"
Donald Schultz,+1-856-398-4789,25356396,461830.68,255585.04,3941.0,7071.77,1792.94,7726.6,1949.12,2024-12-17,2025-03-12,2025-12-17,2026-03-12,0.0,7347.34,2025-09-24,In-App Message,Verified insurance premium update,Tarrant,"7365 Ross Stream, Grapevine, TX 76010"
David Mckay,+1-771-311-1615x28098,65137801,715106.34,626950.87,7674.01,4885.6,2070.78,5272.3,2203.92,2024-12-23,2025-03-26,2025-12-23,2026-03-26,0.0,1048.25,2025-11-04,Email,Verified insurance premium update,Collin,"604 Bell Ports Apt. 273, Allen, TX 75025"
Ashley Ramirez,268.499.8094,46677730,514231.5,331385.49,5682.12,6591.64,2031.11,7288.02,2219.51,2025-04-06,2025-04-23,2026-04-06,2026-04-23,0.0,5410.0,2025-09-27,Call,Verified insurance premium update,Dallas,"5022 Jones Streets Apt. 183, Garland, TX 75039"
Jacob Griffith,001-999-810-2290x14767,46663833,212960.6,141471.09,7067.96,3817.78,1242.27,4044.79,1305.53,2025-06-29,2025-05-18,2026-06-29,2026-05-18,825.92,0.0,2025-10-04,Chat,Verified insurance premium update,Harris,"156 Justin Springs, Pearland, TX 77002"
Amber Foster,+1-900-834-3244x510,33581357,776183.19,531804.57,6243.17,3234.39,2418.26,3396.69,2457.38,2025-08-26,2024-11-27,2026-08-26,2025-11-27,0.0,586.58,2025-09-25,Call,Asked about escrow increase explanation,Tarrant,"8388 Jones Wall, Arlington, TX 76109"
Thomas Atkins,001-769-466-4160,92963368,165285.01,86971.51,1883.55,6012.56,1758.75,6310.88,1887.05,2025-03-11,2025-08-27,2026-03-11,2026-08-27,0.0,7680.7,2025-09-15,Chat,Requested payment schedule clarification,Dallas,"516 John Radial Suite 816, Irving, TX 75150"
Richard Jones,+1-418-483-5523x1243,97980930,733343.91,390053.09,3177.27,5604.08,2379.11,6062.62,2597.33,2025-03-13,2025-01-08,2026-03-13,2026-01-08,0.0,6926.01,2025-09-25,In-App Message,Verified insurance premium update,Harris,"77997 Lin Road, Pearland, TX 77007"
Jeremy Turner,690-358-1477x005,96525668,667960.81,510069.03,1713.31,6476.16,2245.5,7020.4,2292.42,2025-08-24,2024-11-26,2026-08-24,2025-11-26,0.0,9151.65,2025-09-26,Call,Inquired about property tax adjustment,Dallas,"986 Carpenter Turnpike, Dallas, TX 75062"
Laura Lopez,+1-578-920-7151x820,68978194,201717.55,156083.32,1088.57,4890.26,1633.34,5227.77,1702.92,2025-07-14,2025-07-20,2026-07-14,2026-07-20,0.0,6997.24,2025-09-15,In-App Message,Requested payment schedule clarification,Harris,"5466 Shelton Center, Pasadena, TX 77077"
Brandon Gregory,349-625-1925x4629,85017250,874105.3,511387.61,6657.39,5421.78,1621.95,5796.98,1744.88,2025-01-20,2025-02-02,2026-01-20,2026-02-02,0.0,2141.45,2025-09-16,Chat,Inquired about property tax adjustment,Travis,"528 Debbie Manors Suite 054, Austin, TX 78759"
Katelyn Perez,(721)441-8880,90161060,811223.39,463964.39,4252.96,5746.49,1444.28,5933.73,1569.33,2025-08-30,2025-08-28,2026-08-30,2026-08-28,0.0,4500.61,2025-10-29,Email,Verified insurance premium update,Dallas,"22927 Robert Springs Apt. 794, Dallas, TX 75219"
Joseph Collins,435.697.7468x8623,17003454,343764.31,202762.24,5173.09,6960.48,1744.84,7492.93,1792.29,2025-04-29,2024-12-16,2026-04-29,2025-12-16,0.0,5659.67,2025-11-10,Email,Verified insurance premium update,Dallas,"8181 Miller Estates Suite 782, Garland, TX 75150"
Jerry Bailey,7605685361,13783268,634427.17,441187.42,6550.53,3418.74,1176.71,3734.16,1220.91,2024-12-11,2024-11-18,2025-12-11,2025-11-18,769.62,0.0,2025-09-07,Chat,Verified insurance premium update,Travis,"52204 Horton Dam Suite 790, Austin, TX 78745"
Chase Bentley,+1-986-314-3410x369,24879094,469127.86,386077.08,3315.54,6162.85,1260.56,6487.18,1286.85,2025-02-12,2025-06-20,2026-02-12,2026-06-20,0.0,5754.16,2025-09-23,Email,Inquired about property tax adjustment,Harris,"808 Jennifer Highway Suite 095, Pearland, TX 77077"
Michael Mills,(718)688-8806x706,12179995,312288.48,216134.64,6072.1,7394.73,1691.88,7804.91,1724.11,2025-07-14,2025-01-20,2026-07-14,2026-01-20,0.0,5045.09,2025-10-31,Email,Inquired about property tax adjustment,Collin,"53195 Bradley Plains Suite 277, Frisco, TX 75024"
Mike Acevedo,8439030548,43999198,376700.69,302870.84,1886.08,3204.82,892.69,3385.23,977.47,2025-02-25,2024-12-29,2026-02-25,2025-12-29,0.0,3203.74,2025-10-30,In-App Message,Asked about escrow increase explanation,Dallas,"345 Michelle Isle, Garland, TX 75204"
Steve Paul,(452)677-5841x6169,53112268,509035.66,315781.78,7758.48,4136.15,2264.93,4302.7,2300.9,2025-03-27,2025-05-03,2026-03-27,2026-05-03,54.28,0.0,2025-08-18,In-App Message,Asked about escrow increase explanation,Collin,"54479 Jackson Mills, Allen, TX 75034"
Susan Mendez,(340)516-5820x29702,96592295,263795.26,225695.58,7643.88,3383.31,1221.92,3654.74,1279.91,2025-01-03,2025-06-04,2026-01-03,2026-06-04,1886.79,0.0,2025-09-18,Email,Follow-up on prior escrow analysis letter,Harris,"6909 Erika Land Suite 719, Pearland, TX 77002"
Matthew Wright,602-978-6814,38799154,373014.85,277620.99,4001.81,5558.83,902.39,6205.93,919.47,2025-07-28,2025-03-25,2026-07-28,2026-03-25,0.0,4311.16,2025-10-21,Email,Requested payment schedule clarification,Travis,"731 Melissa Mission Apt. 715, Austin, TX 78745"
Joshua Vance,(925)283-1323,58438711,267792.82,143779.78,1525.45,3012.04,1565.86,3263.37,1622.57,2025-06-22,2024-12-09,2026-06-22,2025-12-09,0.0,4174.81,2025-08-26,Email,Inquired about property tax adjustment,Tarrant,"8291 Kyle Stravenue Suite 866, Grapevine, TX 76102"
Maria Cole,+1-685-428-9226x80182,31738837,203384.82,115260.6,2851.88,6560.61,1802.64,7232.1,1852.76,2025-07-11,2025-03-08,2026-07-11,2026-03-08,0.0,7747.12,2025-10-12,Call,Follow-up on prior escrow analysis letter,Tarrant,"358 Singleton Glen Apt. 842, Grapevine, TX 76010"
Kathryn Jackson,001-322-299-5900,96094462,769973.37,373979.85,2161.46,4384.25,2073.23,4740.38,2147.81,2025-08-04,2025-04-17,2026-08-04,2026-04-17,0.0,5874.76,2025-09-11,Call,Verified insurance premium update,Dallas,"396 Tyler Road Suite 473, Irving, TX 75219"
Michael Moore,(377)735-9255x56258,42445506,857007.18,600107.36,4456.57,3361.99,867.76,3593.57,901.61,2025-06-23,2025-08-18,2026-06-23,2026-08-18,0.0,787.81,2025-09-13,Chat,Asked about escrow increase explanation,Tarrant,"47321 Kelly Lights Suite 325, Grapevine, TX 76010"
Christopher Ferrell,774.270.1687x339,16783418,776968.96,573091.96,7655.5,7498.08,1942.88,7904.9,1969.34,2025-04-02,2024-11-28,2026-04-02,2025-11-28,0.0,3864.45,2025-09-21,Email,Verified insurance premium update,Collin,"9748 Melanie Meadows Apt. 456, Frisco, TX 75070"
Justin Cox,716-787-8499x1216,84870921,837054.59,452632.73,5097.31,5856.53,1635.93,6080.32,1703.52,2025-01-07,2025-07-04,2026-01-07,2026-07-04,0.0,3983.84,2025-11-08,Chat,Inquired about property tax adjustment,Harris,"39868 Brandon Dam Suite 787, Pearland, TX 77584"
Erin Austin,(969)649-5888,73739005,458733.82,320074.42,5638.08,4802.04,2092.85,4961.96,2130.37,2025-08-05,2025-07-13,2026-08-05,2026-07-13,0.0,2636.31,2025-08-16,Chat,Inquired about property tax adjustment,Collin,"5169 Robles Stream, Frisco, TX 75025"
Deborah Rios,001-399-530-9728x96230,12541730,768695.4,346355.34,7085.57,5078.89,892.15,5468.24,951.06,2025-01-30,2025-06-16,2026-01-30,2026-06-16,0.0,403.61,2025-09-14,In-App Message,Verified insurance premium update,Collin,"6263 Shaw Ridge Suite 028, McKinney, TX 75035"
Mrs. Jamie Frye DDS,+1-658-654-9733,40181142,561914.73,513498.12,4066.81,6142.13,1006.42,6864.34,1071.63,2025-07-31,2025-06-09,2026-07-31,2026-06-09,0.0,5191.82,2025-09-19,Email,Requested payment schedule clarification,Collin,"3757 Castro Underpass Suite 419, Frisco, TX 75025"
Jennifer Reed,001-624-404-1574x73384,24660143,564188.56,280178.63,7945.8,7108.18,1584.46,7396.57,1718.97,2025-05-13,2024-12-20,2026-05-13,2025-12-20,0.0,2689.0,2025-10-19,In-App Message,Inquired about property tax adjustment,Tarrant,"08330 Robert Stravenue, Grapevine, TX 76102"
Abigail Pierce,(367)573-4540,81826922,461617.76,319093.18,4305.54,5055.54,1045.89,5293.93,1112.77,2025-03-03,2024-11-25,2026-03-03,2025-11-25,0.0,3168.94,2025-08-14,Email,Asked about escrow increase explanation,Harris,"62067 Sharon Well, Pearland, TX 77057"
Lance Hebert,947-688-7287x43152,34991216,850686.3,598771.58,6743.85,4272.78,1307.54,4626.67,1438.16,2025-07-17,2025-04-17,2026-07-17,2026-04-17,0.0,331.79,2025-11-02,In-App Message,Requested payment schedule clarification,Tarrant,"549 Gregory Walks, Arlington, TX 76109"
Garrett Morales,522-975-3046,45835371,399329.97,332017.45,3640.47,7197.84,2278.32,8049.13,2350.07,2025-04-17,2025-08-04,2026-04-17,2026-08-04,0.0,8491.93,2025-10-01,In-App Message,Requested payment schedule clarification,Travis,"9904 Schwartz Circle Apt. 742, Austin, TX 78704"
Stacy Carrillo,001-714-859-3327x279,83717007,708528.86,568675.14,6679.86,4737.35,1928.27,5229.41,2117.77,2024-12-04,2025-06-11,2025-12-04,2026-06-11,0.0,1891.85,2025-11-09,In-App Message,Asked about escrow increase explanation,Travis,"339 Alicia Pines Suite 191, Austin, TX 78704"
Laura Hernandez,887-913-9718x70728,85686878,225273.45,196555.53,1697.98,7096.99,826.09,7401.98,899.1,2025-08-27,2025-02-03,2026-08-27,2026-02-03,0.0,7986.61,2025-10-09,Email,Asked about escrow increase explanation,Dallas,"740 Scott Alley, Garland, TX 75150"
Jeff Graves,+1-801-770-4622,61335545,617444.55,400562.0,1562.21,4478.55,1946.41,4827.99,2133.02,2024-11-12,2025-08-31,2025-11-12,2026-08-31,0.0,6558.97,2025-08-16,In-App Message,Follow-up on prior escrow analysis letter,Travis,"6182 Wilson Plain Suite 823, Austin, TX 78704"
Julie Ball,(286)533-7524x31069,37659807,623370.76,567556.98,7981.98,6360.45,1537.75,6607.62,1640.84,2025-04-30,2025-02-10,2026-04-30,2026-02-10,0.0,1641.22,2025-10-05,Call,Verified insurance premium update,Collin,"90790 Joy Locks, Plano, TX 75024"
Scott Brown,643.695.9953x42836,18181595,184493.23,156463.49,3053.57,4686.78,1047.47,5051.43,1111.3,2025-07-29,2025-04-08,2026-07-29,2026-04-08,0.0,4136.28,2025-10-29,Email,Requested payment schedule clarification,Dallas,"687 Teresa Row, Garland, TX 75201"
Melissa Russell,862-487-3342x7086,62132722,803129.7,610262.27,2685.81,7107.73,1043.3,7615.96,1077.58,2025-01-23,2024-12-01,2026-01-23,2025-12-01,0.0,7456.65,2025-09-09,Chat,Asked about escrow increase explanation,Dallas,"3517 Davis Stream, Dallas, TX 75062"
Larry Williams,239-583-7354,35504548,268481.72,180114.96,3418.96,5644.07,1886.2,6028.93,1947.52,2025-06-13,2025-03-15,2026-06-13,2026-03-15,0.0,5886.9,2025-10-28,Chat,Requested payment schedule clarification,Travis,"739 Randy Garden, Austin, TX 78759"
John Wong,245-587-7175x3556,29585415,327904.28,241324.88,5023.68,7467.11,1301.89,8348.34,1392.03,2025-02-08,2025-04-07,2026-02-08,2026-04-07,0.0,6340.09,2025-10-08,Chat,Asked about escrow increase explanation,Travis,"8996 Hernandez Isle, Austin, TX 78701"
Kathryn Pena,+1-254-277-7252x28728,19976458,832962.72,685183.54,6829.87,7063.21,2118.76,7421.39,2292.87,2025-04-04,2024-12-04,2026-04-04,2025-12-04,0.0,4503.43,2025-10-12,Email,Requested payment schedule clarification,Harris,"62312 Jeffery Motorway, Pearland, TX 77002"
Taylor Durham,+1-870-408-8600x84840,24363501,621186.08,560124.64,5524.38,4390.2,1549.4,4750.91,1667.02,2025-04-14,2024-12-11,2026-04-14,2025-12-11,0.0,1963.21,2025-09-19,Call,Inquired about property tax adjustment,Harris,"233 Ochoa Grove, Pasadena, TX 77008"
Judy Sanchez,001-234-410-1666x870,21097943,281730.05,145395.22,4775.85,7371.7,1702.45,8198.91,1846.72,2025-08-03,2025-02-27,2026-08-03,2026-02-27,0.0,6944.05,2025-11-09,Chat,Verified insurance premium update,Tarrant,"5918 Jerry Ways Suite 401, Grapevine, TX 76010"
Mary White,703-892-6142x93968,28783850,753174.4,515296.09,1527.1,6393.68,1183.54,6974.67,1267.21,2025-03-23,2025-07-04,2026-03-23,2026-07-04,0.0,8088.43,2025-10-27,In-App Message,Follow-up on prior escrow analysis letter,Tarrant,"501 Hall Club, Grapevine, TX 76109"
Linda Novak,604-577-3586x62961,19865900,160438.99,115241.11,4183.5,6027.73,1942.98,6525.68,2106.22,2024-11-13,2025-03-10,2025-11-13,2026-03-10,0.0,5887.05,2025-09-26,Chat,Asked about escrow increase explanation,Tarrant,"2626 Ward Course, Fort Worth, TX 76010"
Derrick Anderson,(367)788-8610,84386123,614660.15,566461.31,3296.04,5745.37,1901.01,6246.29,1999.45,2025-09-09,2024-12-13,2026-09-09,2025-12-13,0.0,6323.99,2025-10-23,Chat,Verified insurance premium update,Dallas,"956 Kelly Loaf, Mesquite, TX 75201"
Susan Spence,001-982-462-2444,18491573,859696.15,517693.8,4448.37,3437.36,2308.34,3582.45,2425.67,2025-08-17,2025-07-11,2026-08-17,2026-07-11,0.0,2561.1,2025-10-01,In-App Message,Follow-up on prior escrow analysis letter,Collin,"4647 Michael Gateway, Frisco, TX 75013"
Christina Rodriguez,706-559-6575x6924,74291599,224266.23,155791.81,3856.81,7281.85,855.62,7743.14,898.32,2025-01-27,2025-06-28,2026-01-27,2026-06-28,0.0,6224.89,2025-10-05,Email,Inquired about property tax adjustment,Dallas,"65479 Mark Harbors Suite 519, Mesquite, TX 75040"
Randall Johnson,001-873-874-1672x4342,19927432,826272.16,638223.69,1423.85,4241.47,2445.95,4730.98,2651.84,2024-12-23,2025-09-05,2025-12-23,2026-09-05,0.0,7189.44,2025-09-07,Call,Requested payment schedule clarification,Collin,"796 Stephens Turnpike Suite 891, Allen, TX 75035"
Heather Holland,5965561014,69831384,740095.94,423175.35,1881.47,5540.6,916.64,6088.37,942.9,2024-12-26,2025-08-21,2025-12-26,2026-08-21,0.0,6321.68,2025-08-27,Email,Requested payment schedule clarification,Harris,"7982 Cuevas Orchard Apt. 461, Houston, TX 77002"
